order_id,account_id,company,status,currency,subtotal,tax,total,created_at
20,99948,Green Ltd,created,USD,406.0,28.42,434.42,2026-03-03T20:10:48.500504Z
21,31620,Norris-Reid,created,GBP,45308.0,9061.6,54369.6,2026-03-03T20:10:48.552076Z
22,28398,Johnson Group,paid,GBP,30362.0,6072.4,36434.4,2026-03-03T20:10:48.583422Z
23,47999,Smith LLC,paid,USD,1073.49,75.14,1148.63,2026-03-03T20:10:48.630007Z
24,60182,"White, Murillo and Lee",created,EUR,2.8,0.56,3.36,2026-03-03T20:10:48.714116Z
25,59409,Lewis LLC,invoiced,USD,4356.0,304.92,4660.92,2026-03-03T20:10:48.833008Z
26,36575,"Harris, Burke and Brown",paid,GBP,0.21,0.04,0.25,2026-03-03T20:10:48.885434Z
27,94999,Miles-Krueger,invoiced,GBP,991.47,198.29,1189.76,2026-03-03T20:10:48.902268Z
28,24805,"Anderson, Harper and Thompson",invoiced,EUR,10746.0,2149.2,12895.2,2026-03-03T20:11:43.209602Z
29,81843,Reed PLC,paid,GBP,1423.0,284.6,1707.6,2026-03-03T20:10:49.014253Z
30,80658,Carr-Howell,confirmed,EUR,29686.0,5937.2,35623.2,2026-03-03T20:10:49.068973Z
31,11609,Rodriguez-Long,paid,GBP,0.19,0.04,0.23,2026-03-03T20:11:50.849816Z
32,20147,Thomas Ltd,paid,USD,3980.19,278.61,4258.8,2026-03-03T20:10:49.221937Z
33,84754,Chen LLC,invoiced,GBP,8557.1,1711.42,10268.52,2026-03-03T20:10:49.211737Z
34,79328,Willis-Bridges,created,EUR,2.19,0.44,2.63,2026-03-03T20:11:43.280304Z
35,81918,Christensen-Burgess,invoiced,EUR,2178.0,435.6,2613.6,2026-03-03T20:10:49.301339Z
36,53083,Bird LLC,paid,EUR,2082.44,416.49,2498.93,2026-03-03T20:10:49.377037Z
37,99391,"Davis, Williamson and Wilkinson",paid,EUR,10746.87,2149.37,12896.24,2026-03-03T20:10:49.419203Z
38,93817,Patterson-Ramsey,paid,EUR,0.7,0.14,0.84,2026-03-03T20:10:49.477288Z
39,37505,Cruz-Lee,created,EUR,2.4,0.48,2.88,2026-03-03T20:10:49.590759Z
40,70110,"Humphrey, Johnson and Campbell",paid,GBP,1.68,0.34,2.02,2026-03-03T20:10:49.641603Z
41,59941,Hall-Martin,confirmed,USD,7990.34,559.32,8549.66,2026-03-03T20:10:49.684587Z
42,93810,Johnson LLC,invoiced,GBP,639.6,127.92,767.52,2026-03-03T20:10:49.762953Z
43,15053,Horton-Thomas,created,USD,0.43,0.03,0.46,2026-03-03T20:10:49.750351Z
44,63547,"Weaver, Atkins and Thompson",paid,USD,1016.44,71.15,1087.59,2026-03-03T20:10:49.852939Z
45,45635,Freeman-Miller,invoiced,GBP,4849.84,969.97,5819.81,2026-03-03T20:10:49.914777Z
46,20011,Williams-Matthews,invoiced,USD,3220.01,225.4,3445.41,2026-03-03T20:10:49.934126Z
47,56117,Jordan Group,confirmed,GBP,2811.02,562.2,3373.22,2026-03-03T20:10:50.026526Z
48,81848,Anderson-Dawson,paid,USD,891.0,62.37,953.37,2026-03-03T20:10:50.073915Z
49,18766,Gutierrez-Rodriguez,created,USD,609.28,42.65,651.93,2026-03-03T20:10:48.413711Z
50,75213,Diaz-Macdonald,paid,USD,1103.03,77.21,1180.24,2026-03-03T20:11:43.372708Z
51,41918,"Tran, Sanchez and Chaney",confirmed,GBP,5771.0,1154.2,6925.2,2026-03-03T20:10:50.205811Z
52,45168,Beard PLC,invoiced,EUR,1.48,0.3,1.78,2026-03-03T20:10:50.225750Z
53,90889,Bryant Ltd,paid,GBP,638.0,127.6,765.6,2026-03-03T20:10:50.276387Z
54,28019,Hawkins-Webb,paid,GBP,2.0,0.4,2.4,2026-03-03T20:10:50.382657Z
55,21841,Hernandez Ltd,created,USD,11324.16,792.69,12116.85,2026-03-03T20:10:50.411524Z
56,83368,Wells PLC,paid,GBP,0.28,0.06,0.34,2026-03-03T20:10:50.448243Z
57,15579,Lawrence-Smith,created,EUR,991.23,198.25,1189.48,2026-03-03T20:10:50.513423Z
58,86121,Harris Ltd,created,USD,1.52,0.11,1.63,2026-03-03T20:10:50.572081Z
59,39384,Cantu Group,created,EUR,2574.05,514.81,3088.86,2026-03-03T20:10:50.582503Z
60,50344,Lane-Baker,paid,EUR,408.0,81.6,489.6,2026-03-03T20:10:50.688741Z
61,74813,Hawkins LLC,paid,GBP,52735.44,10547.09,63282.53,2026-03-03T20:11:43.428538Z
62,85400,Brown and Sons,confirmed,GBP,0.53,0.11,0.64,2026-03-03T20:10:50.793516Z
63,68345,Carter-Blankenship,paid,GBP,13270.0,2654.0,15924.0,2026-03-03T20:11:43.405973Z
64,72411,Mccoy Group,created,USD,1450.0,101.5,1551.5,2026-03-03T20:10:50.874646Z
65,64361,Roberts-Kirk,created,EUR,3.93,0.79,4.72,2026-03-03T20:10:50.967737Z
66,19281,Hamilton-Sanchez,created,USD,1.84,0.13,1.97,2026-03-03T20:11:43.543011Z
67,19803,Miranda Group,confirmed,USD,12652.4,885.67,13538.07,2026-03-03T20:10:48.540483Z
68,71127,"Burgess, Odonnell and Rodriguez",created,GBP,1.14,0.23,1.37,2026-03-03T20:11:43.565573Z
69,99684,Davis and Sons,paid,USD,10774.74,754.23,11528.97,2026-03-03T20:10:51.150000Z
70,25523,Warner-Cole,invoiced,GBP,147.12,29.42,176.54,2026-03-03T20:10:51.196968Z
71,52434,"Harvey, Smith and Mcgrath",paid,EUR,1598.63,319.73,1918.36,2026-03-03T20:10:51.262567Z
72,19624,"Rodgers, Lopez and Hale",confirmed,USD,13058.0,914.06,13972.06,2026-03-03T20:10:51.294597Z
73,46675,Shaw PLC,confirmed,EUR,1160.37,232.07,1392.44,2026-03-03T20:11:43.599730Z
74,90035,"Camacho, Flores and Marsh",confirmed,GBP,1771.15,354.23,2125.38,2026-03-03T20:10:51.414157Z
75,69093,"Kim, Williams and Saunders",invoiced,GBP,2190.33,438.07,2628.4,2026-03-03T20:10:51.416299Z
76,58569,Clements-Gonzalez,paid,USD,8159.0,571.13,8730.13,2026-03-03T20:10:51.514748Z
77,43125,Gonzalez-Lee,created,EUR,0.53,0.11,0.64,2026-03-03T20:10:51.542268Z
78,34596,Evans Ltd,paid,USD,0.53,0.04,0.57,2026-03-03T20:10:51.579937Z
79,29049,Bailey-Martin,created,EUR,0.18,0.04,0.22,2026-03-03T20:10:51.642340Z
80,45584,Weaver-Erickson,confirmed,GBP,0.12,0.02,0.14,2026-03-03T20:10:51.708506Z
81,76314,Morgan-Schmidt,invoiced,USD,9353.37,654.74,10008.11,2026-03-03T20:10:51.756952Z
82,28968,Lucero-Carter,created,USD,1.28,0.09,1.37,2026-03-03T20:10:51.844863Z
83,75032,Davis-Gray,invoiced,USD,11797.32,825.81,12623.13,2026-03-03T20:10:51.893080Z
84,47170,Burns PLC,confirmed,GBP,2587.0,517.4,3104.4,2026-03-03T20:10:54.687038Z
85,36160,"Gilbert, Rodriguez and Stein",paid,EUR,796.41,159.28,955.69,2026-03-03T20:10:52.028222Z
86,14067,"Monroe, Stewart and Smith",paid,GBP,0.78,0.16,0.94,2026-03-03T20:10:52.025617Z
87,29130,"Lopez, Combs and Fernandez",invoiced,USD,5375.84,376.31,5752.15,2026-03-03T20:10:52.170223Z
88,62099,Cook and Sons,invoiced,GBP,0.1,0.02,0.12,2026-03-03T20:10:52.147360Z
89,20628,"Warner, Green and Cooper",confirmed,GBP,30.1,6.02,36.12,2026-03-03T20:10:52.263226Z
90,36695,"Davis, Keller and Willis",confirmed,GBP,34357.0,6871.4,41228.4,2026-03-03T20:10:52.308219Z
91,20947,"Jackson, Sutton and Martin",paid,EUR,41338.8,8267.76,49606.56,2026-03-03T20:11:43.778297Z
92,65187,"Cunningham, Grant and Chapman",confirmed,USD,34649.05,2425.43,37074.48,2026-03-03T20:10:52.416346Z
93,74795,"Sharp, Ware and Davis",created,GBP,0.14,0.03,0.17,2026-03-03T20:10:52.491392Z
94,81670,Martinez LLC,paid,GBP,495.07,99.01,594.08,2026-03-03T20:10:52.473542Z
95,79711,"Booker, Doyle and Bowers",paid,GBP,959.72,191.94,1151.66,2026-03-03T20:10:52.555797Z
96,58574,Velez-Foster,confirmed,GBP,0.06,0.01,0.07,2026-03-03T20:10:52.581323Z
97,35498,Shaffer-Watson,created,EUR,12784.42,2556.88,15341.3,2026-03-03T20:10:52.636690Z
98,56713,"Guerra, Gomez and Brown",invoiced,USD,58327.0,4082.89,62409.89,2026-03-03T20:10:52.721821Z
99,62950,Gonzalez-White,paid,GBP,10331.32,2066.26,12397.58,2026-03-03T20:10:52.740444Z
100,29093,Gibson-Townsend,paid,EUR,5660.2,1132.04,6792.24,2026-03-03T20:10:52.877741Z
101,86172,Kerr PLC,created,USD,20774.39,1454.21,22228.6,2026-03-03T20:11:43.825942Z
102,29421,"Gilbert, Jackson and Marquez",paid,GBP,8160.97,1632.19,9793.16,2026-03-03T20:10:52.989647Z
103,69807,"Horton, Meyers and Norris",invoiced,EUR,3763.1,752.62,4515.72,2026-03-03T20:10:53.002405Z
104,12560,Dennis and Sons,confirmed,EUR,493.0,98.6,591.6,2026-03-03T20:10:53.091360Z
105,87506,Carpenter-Rodriguez,created,EUR,1.92,0.38,2.3,2026-03-03T20:11:43.818503Z
106,72814,Peters PLC,created,EUR,0.72,0.14,0.86,2026-03-03T20:10:53.207112Z
107,42306,"Perkins, Compton and Barrett",created,EUR,10967.0,2193.4,13160.4,2026-03-03T20:10:53.269925Z
108,27107,"Ochoa, Gilmore and Cruz",confirmed,USD,0.4,0.03,0.43,2026-03-03T20:10:53.265911Z
109,46645,Stevens PLC,confirmed,GBP,3.11,0.62,3.73,2026-03-03T20:10:53.334485Z
110,60860,"Wright, Olson and Hill",created,GBP,2.85,0.57,3.42,2026-03-03T20:10:53.429568Z
111,37887,Snyder-Sanders,invoiced,USD,1395.09,97.66,1492.75,2026-03-03T20:10:53.504239Z
112,73077,"Riley, Evans and Marshall",paid,EUR,1.4,0.28,1.68,2026-03-03T20:10:53.508795Z
113,14004,"Dillon, Bowen and Smith",invoiced,USD,784.1,54.89,838.99,2026-03-03T20:10:53.588499Z
114,41579,"Garcia, Wade and Sanchez",confirmed,USD,987.52,69.13,1056.65,2026-03-03T20:11:43.945893Z
115,47125,Waters PLC,paid,USD,5.3,0.37,5.67,2026-03-03T20:10:53.739517Z
116,88617,"Bowen, Smith and Lucas",created,USD,4358.24,305.08,4663.32,2026-03-03T20:11:43.915759Z
117,41470,Martin Group,confirmed,GBP,1102.0,220.4,1322.4,2026-03-03T20:10:53.822670Z
118,92825,Collins Ltd,invoiced,GBP,4073.0,814.6,4887.6,2026-03-03T20:10:53.919392Z
119,47486,Rodgers PLC,invoiced,USD,986.0,69.02,1055.02,2026-03-03T20:10:53.960477Z
120,77493,Lopez Ltd,paid,USD,2574.18,180.19,2754.37,2026-03-03T20:10:54.033732Z
121,21442,Silva Group,paid,EUR,4.08,0.82,4.9,2026-03-03T20:10:54.105131Z
122,76849,Harper LLC,invoiced,USD,3366.0,235.62,3601.62,2026-03-03T20:11:43.967366Z
123,16863,Miller-Russell,confirmed,USD,0.25,0.02,0.27,2026-03-03T20:10:54.134629Z
124,46412,"Smith, Meza and Brown",invoiced,GBP,1.37,0.27,1.64,2026-03-03T20:10:54.241317Z
125,41824,Clayton PLC,invoiced,GBP,36819.13,7363.83,44182.96,2026-03-03T20:10:54.289446Z
126,85048,Lane Group,paid,USD,1189.0,83.23,1272.23,2026-03-03T20:10:54.316503Z
127,15842,"Carpenter, Carson and Johnson",created,GBP,14036.0,2807.2,16843.2,2026-03-03T20:10:57.073959Z
128,41017,Hunt-Anderson,created,GBP,5228.0,1045.6,6273.6,2026-03-03T20:10:54.471452Z
129,86821,"Nelson, Wilkerson and Beasley",paid,USD,2676.0,187.32,2863.32,2026-03-03T20:10:54.485884Z
130,78128,Nelson-Yang,paid,GBP,4653.37,930.67,5584.04,2026-03-03T20:10:54.545599Z
131,51344,Carrillo-Miller,created,EUR,1990.0,398.0,2388.0,2026-03-03T20:10:54.641955Z
132,64057,Russell and Sons,confirmed,GBP,3.67,0.73,4.4,2026-03-03T20:10:51.924800Z
133,74727,Olson-Mack,paid,GBP,0.41,0.08,0.49,2026-03-03T20:10:54.754013Z
134,73454,"Gonzalez, Riggs and Bartlett",confirmed,GBP,18377.43,3675.49,22052.92,2026-03-03T20:10:54.793706Z
135,97757,Garrett-Aguilar,paid,EUR,0.61,0.12,0.73,2026-03-03T20:10:54.833100Z
136,85460,Rice-Hamilton,created,USD,891.0,62.37,953.37,2026-03-03T20:10:54.949447Z
137,19485,Ortiz and Sons,created,GBP,9353.0,1870.6,11223.6,2026-03-03T20:10:54.936286Z
138,35354,Cole-Wolfe,confirmed,USD,2.16,0.15,2.31,2026-03-03T20:10:54.994018Z
139,10197,"Jensen, Franklin and Walter",created,GBP,1.44,0.29,1.73,2026-03-03T20:10:55.075154Z
140,22453,Adams PLC,invoiced,GBP,3325.93,665.19,3991.12,2026-03-03T20:10:55.080257Z
141,77806,Carpenter Group,confirmed,GBP,35432.0,7086.4,42518.4,2026-03-03T20:11:44.100679Z
142,86361,"Frazier, Tucker and Tucker",paid,USD,1.89,0.13,2.02,2026-03-03T20:10:55.184559Z
143,34107,Smith and Sons,paid,EUR,1.45,0.29,1.74,2026-03-03T20:10:55.306504Z
144,68755,Gibson Ltd,paid,USD,37685.0,2637.95,40322.95,2026-03-03T20:10:55.343218Z
145,65412,"Smith, Johnson and Flores",paid,EUR,796.0,159.2,955.2,2026-03-03T20:11:44.156048Z
146,27476,Hanson Inc,created,EUR,1289.85,257.97,1547.82,2026-03-03T20:11:44.215386Z
147,89330,"Hernandez, Duffy and Gonzales",paid,GBP,2388.0,477.6,2865.6,2026-03-03T20:10:55.517285Z
148,62887,"Fields, Cordova and Williams",confirmed,EUR,4533.66,906.73,5440.39,2026-03-03T20:10:55.662666Z
149,19320,King and Sons,created,GBP,901.85,180.37,1082.22,2026-03-03T20:10:55.654000Z
150,52777,Lopez-Torres,invoiced,GBP,1.34,0.27,1.61,2026-03-03T20:10:55.751978Z
151,63689,"Chen, Harris and Mcpherson",paid,EUR,5.89,1.18,7.07,2026-03-03T20:10:55.742370Z
152,61308,"Thomas, Bonilla and Yates",paid,GBP,594.0,118.8,712.8,2026-03-03T20:10:55.846211Z
153,74292,Johnson Ltd,paid,EUR,1248.68,249.74,1498.42,2026-03-03T20:10:55.876999Z
154,36626,Tucker-Clark,confirmed,GBP,8560.22,1712.04,10272.26,2026-03-03T20:10:55.987101Z
155,86137,"Ryan, English and Bird",created,USD,1.1,0.08,1.18,2026-03-03T20:10:55.965699Z
156,73934,Small-Wright,confirmed,GBP,0.83,0.17,1.0,2026-03-03T20:10:56.072489Z
157,90169,Walker-Smith,paid,GBP,0.13,0.03,0.16,2026-03-03T20:10:56.101997Z
158,99686,Michael Inc,paid,GBP,6965.82,1393.16,8358.98,2026-03-03T20:10:56.185216Z
159,61710,Chambers and Sons,created,GBP,594.8,118.96,713.76,2026-03-03T20:10:56.207883Z
160,26061,"Cooper, Thompson and Matthews",paid,USD,6186.03,433.02,6619.05,2026-03-03T20:10:56.272952Z
161,77922,Pierce and Sons,confirmed,EUR,2.35,0.47,2.82,2026-03-03T20:10:56.323117Z
162,17039,"Leach, Harris and Harris",created,GBP,34358.46,6871.69,41230.15,2026-03-03T20:10:53.590873Z
163,80965,"Bryant, Silva and Vasquez",invoiced,GBP,3.36,0.67,4.03,2026-03-03T20:10:56.352484Z
164,22495,"Turner, Acevedo and Ford",confirmed,USD,597.0,41.79,638.79,2026-03-03T20:10:56.496284Z
165,12205,Nixon Group,confirmed,USD,0.99,0.07,1.06,2026-03-03T20:10:56.473205Z
166,33424,"Morrison, Patterson and Murphy",created,GBP,4.24,0.85,5.09,2026-03-03T20:10:56.541212Z
167,39993,Murphy LLC,created,GBP,39151.25,7830.25,46981.5,2026-03-03T20:10:56.629732Z
168,25057,"Wood, Lopez and Patel",confirmed,EUR,146.19,29.24,175.43,2026-03-03T20:10:56.662367Z
169,43492,"Weber, Peters and Martinez",confirmed,EUR,0.69,0.14,0.83,2026-03-03T20:10:56.776036Z
170,55218,"Flores, Davis and Nguyen",created,EUR,37553.0,7510.6,45063.6,2026-03-03T20:10:56.813896Z
171,83639,Mcgrath-Wilson,paid,GBP,20774.64,4154.93,24929.57,2026-03-03T20:10:56.857099Z
172,56205,Lewis LLC,confirmed,GBP,1.28,0.26,1.54,2026-03-03T20:10:56.853731Z
173,52483,Barnett-Strickland,invoiced,GBP,4.0,0.8,4.8,2026-03-03T20:10:56.940561Z
174,10614,Lucero-Crawford,created,GBP,3185.17,637.03,3822.2,2026-03-03T20:10:57.031676Z
175,68190,Williams PLC,created,USD,1335.04,93.45,1428.49,2026-03-03T20:10:57.094238Z
176,13892,Saunders and Sons,created,USD,26144.0,1830.08,27974.08,2026-03-03T20:10:54.416505Z
177,38415,Fisher-Lee,paid,EUR,667.27,133.45,800.72,2026-03-03T20:10:57.173116Z
178,24768,"Orozco, Newman and Fischer",created,GBP,3.52,0.7,4.22,2026-03-03T20:10:57.194324Z
179,35975,Summers Inc,confirmed,GBP,28361.56,5672.31,34033.87,2026-03-03T20:10:57.253658Z
180,28905,Craig PLC,paid,GBP,1092.12,218.42,1310.54,2026-03-03T20:10:57.329267Z
181,86145,"Garcia, Cook and Morgan",invoiced,EUR,2988.04,597.61,3585.65,2026-03-03T20:10:57.394845Z
182,69253,Hall-Morse,invoiced,GBP,6368.55,1273.71,7642.26,2026-03-03T20:10:57.405561Z
183,24148,Burgess Inc,paid,USD,20774.4,1454.21,22228.61,2026-03-03T20:10:57.549612Z
184,46165,Allen Ltd,created,USD,21573.27,1510.13,23083.4,2026-03-03T20:10:57.535793Z
185,24818,Moore PLC,invoiced,GBP,0.6,0.12,0.72,2026-03-03T20:11:44.224088Z
186,54865,"Perry, Kelley and Cole",paid,GBP,524.76,104.95,629.71,2026-03-03T20:10:57.668137Z
187,56037,Lara-Hernandez,paid,GBP,2122.29,424.46,2546.75,2026-03-03T20:10:57.737083Z
188,39017,Melendez-Allen,invoiced,GBP,28764.0,5752.8,34516.8,2026-03-03T20:10:57.743665Z
189,73364,"Hill, Johnston and Wilson",created,GBP,697.15,139.43,836.58,2026-03-03T20:10:57.882463Z
190,19776,Walton LLC,created,EUR,1.72,0.34,2.06,2026-03-03T20:10:57.909566Z
191,79146,"Savage, Palmer and Thomas",created,USD,3982.8,278.8,4261.6,2026-03-03T20:10:57.906406Z
192,58933,Miller-Parker,paid,EUR,1.76,0.35,2.11,2026-03-03T20:10:58.054564Z
193,83635,Mercado-Hines,paid,USD,19954.08,1396.79,21350.87,2026-03-03T20:10:58.062581Z
194,88983,Perkins LLC,paid,EUR,1089.12,217.82,1306.94,2026-03-03T20:10:58.161947Z
195,88055,Williams-Gonzalez,confirmed,GBP,1685.13,337.03,2022.16,2026-03-03T20:10:55.438368Z
196,95118,"Dawson, Marquez and Norton",created,EUR,35955.0,7191.0,43146.0,2026-03-03T20:10:55.491619Z
197,80762,Anderson Inc,created,USD,464.0,32.48,496.48,2026-03-03T20:10:58.194937Z
198,16944,"Dawson, Garcia and Manning",paid,EUR,0.06,0.01,0.07,2026-03-03T20:10:58.245566Z
199,55120,"Long, Hill and Marquez",created,GBP,4214.0,842.8,5056.8,2026-03-03T20:10:58.351839Z
200,15978,Navarro Inc,paid,EUR,0.3,0.06,0.36,2026-03-03T20:10:58.397293Z
201,18795,"Nguyen, Smith and Campbell",invoiced,EUR,49538.0,9907.6,59445.6,2026-03-03T20:10:58.424793Z
202,60533,"Harrison, Marks and Gonzalez",created,GBP,1188.0,237.6,1425.6,2026-03-03T20:10:58.524941Z
203,21895,Wilkinson PLC,paid,EUR,580.0,116.0,696.0,2026-03-03T20:10:58.543824Z
204,62023,Buckley and Sons,created,EUR,7752.0,1550.4,9302.4,2026-03-03T20:10:58.603132Z
205,66939,Ramsey-Herrera,created,EUR,2986.89,597.38,3584.27,2026-03-03T20:10:58.638430Z
206,11133,Torres Ltd,paid,USD,297.53,20.83,318.36,2026-03-03T20:10:58.765410Z
207,76319,"Caldwell, Castaneda and Walker",paid,GBP,1305.0,261.0,1566.0,2026-03-03T20:10:58.788344Z
208,46577,"Norman, Brown and Salinas",confirmed,GBP,5.97,1.19,7.16,2026-03-03T20:10:58.806029Z
209,83012,"Johnson, Sheppard and Mitchell",created,USD,2610.0,182.7,2792.7,2026-03-03T20:11:01.601889Z
210,60423,Becker Ltd,created,EUR,15181.0,3036.2,18217.2,2026-03-03T20:10:58.964585Z
211,84042,Yang-Smith,created,GBP,3861.26,772.25,4633.51,2026-03-03T20:10:59.047981Z
212,61938,"Haas, Thornton and Brown",invoiced,USD,4917.16,344.2,5261.36,2026-03-03T20:10:59.090414Z
213,29942,Robinson-Smith,confirmed,EUR,0.46,0.09,0.55,2026-03-03T20:10:59.163036Z
214,77801,"Kelly, Evans and Fernandez",confirmed,EUR,9732.0,1946.4,11678.4,2026-03-03T20:10:59.223822Z
215,15773,"Ellison, Garcia and Mitchell",confirmed,GBP,3366.0,673.2,4039.2,2026-03-03T20:10:59.221656Z
216,37223,"Lopez, Castillo and Smith",paid,USD,1.42,0.1,1.52,2026-03-03T20:10:59.328605Z
217,47569,Lopez Ltd,paid,GBP,5177.65,1035.53,6213.18,2026-03-03T20:10:59.384374Z
218,49369,Rodriguez PLC,confirmed,USD,0.25,0.02,0.27,2026-03-03T20:10:59.436634Z
219,93549,Rose-Murphy,created,USD,37972.04,2658.04,40630.08,2026-03-03T20:10:59.441487Z
220,40540,"Wright, Hill and Morales",paid,GBP,20174.61,4034.92,24209.53,2026-03-03T20:10:59.467434Z
221,42173,Davis-Ramirez,paid,GBP,2.39,0.48,2.87,2026-03-03T20:11:44.336768Z
222,24142,Campbell Inc,created,USD,4455.74,311.9,4767.64,2026-03-03T20:10:59.583971Z
223,53529,Gonzales-Myers,paid,USD,32731.0,2291.17,35022.17,2026-03-03T20:10:59.671428Z
224,18360,Marshall PLC,created,GBP,2.38,0.48,2.86,2026-03-03T20:10:59.699213Z
225,41389,Luna PLC,confirmed,USD,33120.0,2318.4,35438.4,2026-03-03T20:10:59.795219Z
226,73445,Gates PLC,invoiced,GBP,0.21,0.04,0.25,2026-03-03T20:10:59.845181Z
227,62305,"Wood, Griffin and Allen",confirmed,EUR,99.0,19.8,118.8,2026-03-03T20:10:59.893255Z
228,96057,Berry and Sons,paid,EUR,37553.0,7510.6,45063.6,2026-03-03T20:11:02.650929Z
229,79311,Perez PLC,invoiced,GBP,59925.0,11985.0,71910.0,2026-03-03T20:11:44.339032Z
230,31210,Bryan-Hardy,created,USD,198.0,13.86,211.86,2026-03-03T20:11:00.016291Z
231,12856,Carson LLC,confirmed,USD,297.15,20.8,317.95,2026-03-03T20:11:00.132117Z
232,46833,Hall Inc,invoiced,USD,2970.0,207.9,3177.9,2026-03-03T20:11:00.148914Z
233,99453,"Thompson, Hall and Horn",confirmed,USD,3.13,0.22,3.35,2026-03-03T20:11:00.201300Z
234,54807,Glenn-Hodge,confirmed,USD,22372.0,1566.04,23938.04,2026-03-03T20:11:44.385443Z
235,55458,"Robertson, Johnson and Jones",paid,GBP,0.3,0.06,0.36,2026-03-03T20:11:00.337728Z
236,98243,Simpson-Oconnor,paid,EUR,5373.0,1074.6,6447.6,2026-03-03T20:11:00.418255Z
237,91595,Stein-Cordova,invoiced,EUR,27965.1,5593.02,33558.12,2026-03-03T20:11:44.475687Z
238,58644,Graham Ltd,paid,GBP,792.0,158.4,950.4,2026-03-03T20:11:00.463201Z
239,25560,Carey and Sons,confirmed,GBP,0.9,0.18,1.08,2026-03-03T20:11:00.547520Z
240,90793,Johnson LLC,paid,EUR,11987.01,2397.4,14384.41,2026-03-03T20:11:00.596293Z
241,79960,Gomez Ltd,created,GBP,0.41,0.08,0.49,2026-03-03T20:11:00.722007Z
242,53955,Crawford PLC,confirmed,GBP,14976.39,2995.28,17971.67,2026-03-03T20:11:00.686572Z
243,78901,Coleman-Hayes,invoiced,EUR,27968.94,5593.79,33562.73,2026-03-03T20:11:00.750550Z
244,99140,Reyes-Riley,created,GBP,2.08,0.42,2.5,2026-03-03T20:11:00.818086Z
245,26491,Ruiz-Hayes,paid,USD,41120.03,2878.4,43998.43,2026-03-03T20:11:00.945535Z
246,17899,"Hughes, Kelly and Simon",created,USD,0.74,0.05,0.79,2026-03-03T20:11:01.002438Z
247,70064,Smith-Grimes,confirmed,GBP,2776.2,555.24,3331.44,2026-03-03T20:11:01.027554Z
248,64518,"Howe, Woods and Harris",paid,USD,2589.58,181.27,2770.85,2026-03-03T20:11:01.022328Z
249,45532,"Gates, Ramirez and Harper",confirmed,GBP,5374.68,1074.94,6449.62,2026-03-03T20:11:01.157699Z
250,60797,Fitzpatrick-Hart,created,EUR,35082.51,7016.5,42099.01,2026-03-03T20:11:01.193047Z
251,68298,"Reyes, Lane and Bryant",invoiced,USD,9154.0,640.78,9794.78,2026-03-03T20:11:01.196646Z
252,91512,Huber LLC,created,GBP,22372.0,4474.4,26846.4,2026-03-03T20:11:01.260783Z
253,80542,"James, Glenn and Delgado",confirmed,EUR,99.0,19.8,118.8,2026-03-03T20:11:44.491556Z
254,59126,"King, Stanley and Robinson",created,USD,27965.71,1957.6,29923.31,2026-03-03T20:11:01.413563Z
255,17248,Davidson-Pope,created,GBP,40588.82,8117.76,48706.58,2026-03-03T20:11:01.416967Z
256,74074,Reynolds-Brooks,created,EUR,2772.0,554.4,3326.4,2026-03-03T20:11:01.532487Z
